Expression_ID,Expression,Level_ID,Topic_ID,Language_ID
1,We are two Akikos.,107,914,66
2,Today's topic is what would you do if you got a lot of money suddenly.,107,914,83
3,I'll go to Switzerland make a deposit in a Swiss bank.,107,914,66
4,I'll go to Las Vegas and use the rest of money.,107,914,66
5,Are you agree?,107,914,83
6,Does somebody else has the same opinion?,107,914,83
7,If I get much money- I will invest the money to the stock market.,107,914,66
8,The paper can be exchange the money.,107,914,66
9,I let my money increasing.,107,914,66
10,We already have much money.,107,914,66
11,The stock it's not always make money.,107,914,66
12,I will get easy job.,107,914,66
13,The person who does not job cannot be respected.,107,914,66
14,You can buy car company.,107,914,66
15,How about the rest of money?,107,914,83
16,I would use one part for solve our problems.,107,914,113
17,I will give poor people the rest part.,107,914,113
18,I'm going Greek.,107,914,66
19,You went to Greek?,107,914,66
20,My friend was in Greek.,107,914,66
21,If I get much money. . .,107,914,66
22,You can go to moon!,107,914,66
23,Rest of them-  I spend for poor people.,107,914,66
24,If I got a lot of money- I would like to spend for travel.,107,914,66
25,Almost all money I will save.,107,914,66
26,If I got a lot of money- I'll buy a car.,107,914,66
27,I don't want think about this.,107,914,66
28,The reason they became poor- some of them- it's because they don't want to work.,107,914,66
29,If a person kill someone- he may receive death penalty.,107,914,66
30,I think it a good topic.,107,914,66
31,The murderer have to be punished to die?,107,914,83
32,The United States and Amnesty disagree with death penalty.,107,914,66
33,I agree with death penalty.,107,914,66
34,I want to know all of your opinion.,107,914,66
35,I am opposed to death penalty.,107,914,66
36,I disagree death penalty.,107,914,113
37,All lifetime persons be in the jail.,107,914,113
38,If you guys looking us- can you guys tell which normal and not normal?,107,914,66
39,How can you tell who is normal people?,107,914,83
40,There are many method to testing.,107,914,66
41,If the normal person do crime...,107,914,66
42,"Normal person not going to say ""I not normal.""",107,914,66
43,Mental disease people who is dangerous for other people.,107,914,66
44,So kill people is dangerous,107,914,66
45,Finally- he could prove he is innocent.,107,914,66
46,If my girlfriend were raped- even if he is judged not guilty- I will kill him.,107,914,66
47,If my boyfriend was killed by someone- I wanted the murder to regret the murder- to killing person.,107,914,66
48,I think the murder don't think killing person is not bad thing.,107,914,66
49,If my boyfriend was killed- at that time I want to kill that person.,107,914,66
50,People don't judge another people- because people is equal.,107,914,66
51,So you mean people shouldn't judge people's death?,107,914,83
52,I think your opinion don't make sense.,107,914,66
53,I'm opposed to death penalty.,107,914,66
54,Why you disagree with just death penalty?,107,914,66
55,God judge people.,107,914,66
56,If you judge somebody who are kill somebody else- if you misjudgement- what do you do after that?,107,914,66
57,If you die- many people sad your death.,107,914,66
58,So if a person who kill other people- you think it's murder's fault.,107,914,83
59,So I made mistake because my mother teach me wrong.,107,914,83
60,I think death penalty doesn't restrict crime.,107,914,113
61,What do you have something instead of death penalty?,107,914,66
62,So- Koichi- you're going to continue leader for Tuesday.,107,914,66
63,How about library?,107,914,83
64,Adaptation mean very close.,107,914,66
65,This movie is very close to comic book.,107,914,66
66,It made from comic book.,107,914,66
67,Murder is somebody killed.,107,914,66
68,"So everybody understand ""grave""?",107,914,66
